00000000:Fri Feb 24 11:21:26 2006--> (ERROR) Could not create DirectSound performance object.
00000001:Fri Feb 24 11:21:26 2006--> (ERROR) Sound Driver initialization failed!
00000002:Fri Feb 24 11:21:26 2006--> (ERROR) Auto driver's init failed.
00000003:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000004:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000005:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000006:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000007:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000008:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000009:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000010:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000011:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000012:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000013:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000014:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000015:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000016:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000017:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000018:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000019:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000020:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000021:Fri Feb 24 11:21:54 2006--> (ERROR) Could not flip swap chain!
00000022:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000023:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000024:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000025:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000026:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000027:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000028:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000029:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000030:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000031:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000032:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000033:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000034:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000035:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000036:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000037:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000038:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000039:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000040:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000041:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000042:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000043:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000044:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000045:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000046:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000047:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000048:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000049:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000050:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000051:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000052:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000053:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000054:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000055:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000056:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000057:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000058:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000059:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000060:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000061:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000062:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000063:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000064:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000065:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000066:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000067:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000068:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000069:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000070:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000071:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000072:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000073:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000074:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000075:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000076:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000077:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000078:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000079:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000080:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000081:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000082:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000083:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000084:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000085:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000086:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000087:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000088:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000089:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000090:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000091:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000092:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000093:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000094:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000095:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000096:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000097:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000098:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
00000099:Fri Feb 24 11:21:55 2006--> (ERROR) Could not flip swap chain!
